E (keV)	chYiel
0.000000	-nan
79.750000	49.597243
80.000000	49.645101
80.250000	49.692585
80.500000	49.739696
80.750000	49.786437
81.000000	49.832809
81.250000	49.878813
81.500000	49.924451
81.750000	49.969724
82.000000	50.014635
82.250000	50.059185
82.500000	50.103375
82.750000	50.147207
83.000000	50.190683
83.250000	50.233803
83.500000	50.276571
83.750000	50.318988
84.000000	50.361055
84.250000	50.402774
84.500000	50.444146
84.750000	50.485174
85.000000	50.525859
85.250000	50.566202
85.500000	50.606206
85.750000	50.645873
86.000000	50.685203
86.250000	50.724198
86.500000	50.762861
86.750000	50.801193
87.000000	50.839196
87.250000	50.876871
87.500000	50.914220
87.750000	50.951246
88.000000	50.987949
88.250000	51.024332
88.500000	51.060396
88.750000	51.096142
89.000000	51.131574
89.250000	51.166692
89.500000	51.201498
89.750000	51.235994
90.000000	51.270182
90.250000	51.304064
90.500000	51.337641
90.750000	51.370914
91.000000	51.403887
91.250000	51.436560
91.500000	51.468935
91.750000	51.501014
92.000000	51.532799
92.250000	51.564292
92.500000	51.595494
92.750000	51.626407
93.000000	51.657032
93.250000	51.687372
93.500000	51.717429
93.750000	51.747203
94.000000	51.776697
94.250000	51.805913
94.500000	51.834852
94.750000	51.863515
95.000000	51.891906
95.250000	51.920024
95.500000	51.947873
95.750000	51.975453
96.000000	52.002768
96.250000	52.029817
96.500000	52.056603
96.750000	52.083128
97.000000	52.109393
97.250000	52.135400
97.500000	52.161151
97.750000	52.186647
98.000000	52.211890
98.250000	52.236882
98.500000	52.261624
98.750000	52.286118
99.000000	52.310366
99.250000	52.334370
99.500000	52.358130
99.750000	52.381649
100.000000	52.404928
100.250000	52.427970
100.500000	52.450774
100.750000	52.473344
101.000000	52.495681
101.250000	52.517786
101.500000	52.539661
101.750000	52.561307
102.000000	52.582727
102.250000	52.603921
102.500000	52.624892
102.750000	52.645640
103.000000	52.666168
103.250000	52.686477
103.500000	52.706569
103.750000	52.726444
104.000000	52.746106
104.250000	52.765554
104.500000	52.784791
104.750000	52.803819
105.000000	52.822638
105.250000	52.841250
105.500000	52.859657
105.750000	52.877860
106.000000	52.895861
106.250000	52.913661
106.500000	52.931262
106.750000	52.948665
107.000000	52.965871
107.250000	52.982883
107.500000	52.999700
107.750000	53.016326
108.000000	53.032761
108.250000	53.049007
108.500000	53.065065
108.750000	53.080937
109.000000	53.096623
109.250000	53.112126
109.500000	53.127447
109.750000	53.142586
110.000000	53.157547
110.250000	53.172329
110.500000	53.186934
110.750000	53.201364
111.000000	53.215619
111.250000	53.229702
111.500000	53.243614
111.750000	53.257355
112.000000	53.270928
112.250000	53.284333
112.500000	53.297571
112.750000	53.310645
113.000000	53.323556
113.250000	53.336303
113.500000	53.348890
113.750000	53.361317
114.000000	53.373585
114.250000	53.385696
114.500000	53.397651
114.750000	53.409451
115.000000	53.421098
115.250000	53.432592
115.500000	53.443935
115.750000	53.455127
116.000000	53.466171
116.250000	53.477068
116.500000	53.487817
116.750000	53.498422
117.000000	53.508882
117.250000	53.519200
117.500000	53.529376
117.750000	53.539411
